Date,Embryo Nr,Gonad,Ectopic,condition
9/15/25,1,28,0,ctrl
9/15/25,2,25,0,ctrl
9/15/25,3,9,2,ctrl
9/15/25,4,13,0,ctrl
9/15/25,5,20,0,ctrl
9/15/25,6,22,0,ctrl
9/15/25,7,21,0,ctrl
9/15/25,8,17,0,ctrl
9/15/25,9,12,0,ctrl
9/15/25,10,16,4,ctrl
9/15/25,11,14,4,ctrl
9/15/25,12,20,2,ctrl
9/15/25,13,11,3,ctrl
9/15/25,14,8,0,ctrl
9/15/25,15,15,0,ctrl
9/15/25,16,18,1,ctrl
9/15/25,17,10,0,ctrl
9/15/25,18,16,0,ctrl
9/15/25,19,17,2,ctrl
9/15/25,20,15,5,ctrl
9/17/25,21,21,0,ctrl
9/17/25,22,28,2,ctrl
9/17/25,23,12,4,ctrl
9/17/25,24,11,1,ctrl
9/17/25,25,15,0,ctrl
9/17/25,26,15,5,ctrl
9/17/25,27,19,0,ctrl
9/17/25,28,12,1,ctrl
9/17/25,29,8,1,ctrl
9/17/25,30,13,2,ctrl
9/17/25,31,25,2,ctrl
9/17/25,32,17,0,ctrl
9/17/25,33,23,1,ctrl
9/17/25,34,19,0,ctrl
9/17/25,35,16,0,ctrl
9/17/25,36,12,4,ctrl
9/17/25,37,14,0,ctrl
9/17/25,38,8,2,ctrl
9/17/25,39,16,0,ctrl
9/17/25,40,25,0,ctrl
9/22/25,41,20,0,ctrl
9/22/25,42,18,2,ctrl
9/22/25,43,20,0,ctrl
9/22/25,44,27,0,ctrl
9/22/25,45,22,1,ctrl
9/22/25,46,19,0,ctrl
9/22/25,47,17,4,ctrl
9/22/25,48,24,0,ctrl
9/22/25,49,18,3,ctrl
9/22/25,50,17,0,ctrl
9/22/25,51,15,0,ctrl
9/22/25,52,7,0,ctrl
9/22/25,53,11,0,ctrl
9/22/25,54,19,0,ctrl
9/22/25,55,25,6,ctrl
9/22/25,56,10,0,ctrl
9/22/25,57,18,0,ctrl
9/22/25,58,29,0,ctrl
9/22/25,59,20,0,ctrl
9/22/25,60,14,0,ctrl
9/15/25,1,12,2,kd
9/15/25,2,20,0,kd
9/15/25,3,23,0,kd
9/15/25,4,10,4,kd
9/15/25,5,21,0,kd
9/15/25,6,21,0,kd
9/15/25,7,14,0,kd
9/15/25,8,9,0,kd
9/15/25,9,15,1,kd
9/15/25,10,18,7,kd
9/15/25,11,23,0,kd
9/15/25,12,8,0,kd
9/15/25,13,15,3,kd
9/15/25,14,19,0,kd
9/15/25,15,22,0,kd
9/15/25,16,30,0,kd
9/15/25,17,16,0,kd
9/15/25,18,21,0,kd
9/15/25,19,17,3,kd
9/15/25,20,20,0,kd
9/17/25,21,23,0,kd
9/17/25,22,15,2,kd
9/17/25,23,5,0,kd
9/17/25,24,16,0,kd
9/17/25,25,19,0,kd
9/17/25,26,13,1,kd
9/17/25,27,21,2,kd
9/17/25,28,16,0,kd
9/17/25,29,22,0,kd
9/17/25,30,12,0,kd
9/17/25,31,17,1,kd
9/17/25,32,12,3,kd
9/17/25,33,18,1,kd
9/17/25,34,24,0,kd
9/17/25,35,29,0,kd
9/17/25,36,17,0,kd
9/17/25,37,17,2,kd
9/17/25,38,18,1,kd
9/17/25,39,18,0,kd
9/17/25,40,7,0,kd
9/22/25,41,7,2,kd
9/22/25,42,13,0,kd
9/22/25,43,12,0,kd
9/22/25,44,14,2,kd
9/22/25,45,27,0,kd
9/22/25,46,19,0,kd
9/22/25,47,23,2,kd
9/22/25,48,17,0,kd
9/22/25,49,14,1,kd
9/22/25,50,11,1,kd
9/22/25,51,21,6,kd
9/22/25,52,20,0,kd
9/22/25,53,21,0,kd
9/22/25,54,16,2,kd
9/22/25,55,15,6,kd
9/22/25,56,13,0,kd
9/22/25,57,21,0,kd
9/22/25,58,17,1,kd
9/22/25,59,22,0,kd
9/22/25,60,16,2,kd
