Date,Condition,Gonad,Ectopic,HighLigandArea
5/7/25,with Tdrd7a,34,16,0
5/7/25,with Tdrd7a,16,7,10
5/7/25,with Tdrd7a,27,21,1
5/7/25,with Tdrd7a,8,6,7
5/7/25,with Tdrd7a,3,1,1
5/7/25,with Tdrd7a,6,4,0
5/7/25,with Tdrd7a,57,1,26
5/7/25,with Tdrd7a,5,3,9
5/7/25,with Tdrd7a,89,20,0
5/7/25,with Tdrd7a,40,16,5
5/7/25,with Tdrd7a,1,2,1
5/7/25,with Tdrd7a,3,4,5
5/7/25,with Tdrd7a,4,3,2
5/7/25,with Tdrd7a,46,61,10
5/7/25,with Tdrd7a,19,14,12
5/7/25,with Tdrd7a,13,21,27
5/7/25,with Tdrd7a,0,0,1
5/7/25,with Tdrd7a,58,120,31
5/7/25,with Tdrd7a,24,13,9
5/7/25,with Tdrd7a,70,38,0
5/7/25,with Tdrd7a,5,9,0
5/7/25,with Tdrd7a,67,28,39
5/7/25,without Tdrd7a,135,10,4
5/7/25,without Tdrd7a,15,15,8
5/7/25,without Tdrd7a,21,14,12
5/7/25,without Tdrd7a,25,6,3
5/7/25,without Tdrd7a,59,13,17
5/7/25,without Tdrd7a,13,21,27
5/7/25,without Tdrd7a,5,6,13
5/7/25,without Tdrd7a,54,34,7
5/7/25,without Tdrd7a,11,22,3
5/7/25,without Tdrd7a,14,11,20
5/7/25,without Tdrd7a,12,4,4
5/7/25,without Tdrd7a,14,0,0
5/7/25,without Tdrd7a,4,5,8
5/7/25,without Tdrd7a,8,22,0
5/7/25,without Tdrd7a,7,12,2
7/1/26,with Tdrd7a,58,25,16
7/1/26,with Tdrd7a,42,11,12
7/1/26,with Tdrd7a,25,6,6
7/1/26,with Tdrd7a,36,8,10
7/1/26,with Tdrd7a,10,4,6
7/1/26,with Tdrd7a,18,5,11
7/1/26,with Tdrd7a,38,8,14
7/1/26,with Tdrd7a,48,2,1
7/1/26,with Tdrd7a,96,24,0
7/1/26,with Tdrd7a,12,5,6
7/1/26,with Tdrd7a,37,8,30
7/1/26,with Tdrd7a,40,1,12
7/1/26,with Tdrd7a,33,4,3
7/1/26,with Tdrd7a,37,5,2
7/1/26,with Tdrd7a,26,1,0
7/1/26,with Tdrd7a,55,21,27
7/1/26,with Tdrd7a,36,8,0
7/1/26,with Tdrd7a,31,6,0
7/1/26,with Tdrd7a,32,8,18
7/1/26,with Tdrd7a,39,6,3
7/1/26,without Tdrd7a,72,7,2
7/1/26,without Tdrd7a,68,12,7
7/1/26,without Tdrd7a,30,6,2
7/1/26,without Tdrd7a,37,4,12
7/1/26,without Tdrd7a,56,42,10
7/1/26,without Tdrd7a,4,21,12
7/1/26,without Tdrd7a,27,7,0
7/1/26,without Tdrd7a,36,10,25
7/1/26,without Tdrd7a,22,2,7
7/1/26,without Tdrd7a,29,14,0
7/1/26,without Tdrd7a,28,8,11
7/1/26,without Tdrd7a,34,2,7
7/1/26,without Tdrd7a,56,7,5
7/1/26,without Tdrd7a,32,6,8
7/1/26,without Tdrd7a,21,10,37
7/1/26,without Tdrd7a,44,5,0
7/1/26,without Tdrd7a,30,48,1
7/1/26,without Tdrd7a,50,23,0
7/1/26,without Tdrd7a,65,10,8
7/1/26,without Tdrd7a,82,10,0
6/23/26,with Tdrd7a,76,6,4
6/23/26,with Tdrd7a,22,7,1
6/23/26,with Tdrd7a,13,0,16
6/23/26,with Tdrd7a,11,11,0
6/23/26,with Tdrd7a,25,0,13
6/23/26,with Tdrd7a,26,2,4
6/23/26,with Tdrd7a,35,4,18
6/23/26,with Tdrd7a,71,11,11
6/23/26,with Tdrd7a,26,17,4
6/23/26,with Tdrd7a,32,3,0
6/23/26,with Tdrd7a,25,4,4
6/23/26,with Tdrd7a,17,16,0
6/23/26,with Tdrd7a,34,8,1
6/23/26,with Tdrd7a,33,13,8
6/23/26,with Tdrd7a,14,9,4
6/23/26,with Tdrd7a,17,1,1
6/23/26,with Tdrd7a,27,2,4
6/23/26,with Tdrd7a,48,17,24
6/23/26,with Tdrd7a,28,3,0
6/23/26,with Tdrd7a,76,2,1
6/23/26,without Tdrd7a,64,9,20
6/23/26,without Tdrd7a,46,12,16
6/23/26,without Tdrd7a,14,9,10
6/23/26,without Tdrd7a,23,8,10
6/23/26,without Tdrd7a,59,9,8
6/23/26,without Tdrd7a,32,8,2
6/23/26,without Tdrd7a,35,24,10
6/23/26,without Tdrd7a,31,17,13
6/23/26,without Tdrd7a,42,4,0
6/23/26,without Tdrd7a,56,3,1
6/23/26,without Tdrd7a,21,24,20
6/23/26,without Tdrd7a,32,38,5
6/23/26,without Tdrd7a,22,12,17
6/23/26,without Tdrd7a,35,4,0
6/23/26,without Tdrd7a,64,10,0
6/23/26,without Tdrd7a,25,8,24
6/23/26,without Tdrd7a,28,16,22
6/23/26,without Tdrd7a,34,10,0
6/23/26,without Tdrd7a,6,2,2
6/23/26,without Tdrd7a,16,11,8
