Repeat,stage,globin,dnd,nanos,condition
1,10hpf,6856.50,8010.68,2132.65,full_mix
1,10hpf,2967.63,3043.87,1065.64,full_mix
1,10hpf,5501.08,4693.88,1576.25,full_mix
1,10hpf,4653.00,4188.03,1071.15,full_mix
1,10hpf,6016.13,4897.90,2080.83,full_mix
1,10hpf,445.66,656.83,427.06,full_mix
1,10hpf,8832.29,7271.97,2653.22,full_mix
1,10hpf,7942.89,6959.17,2275.94,full_mix
1,10hpf,2098.15,2530.81,1807.61,full_mix
1,10hpf,3088.37,3387.33,1409.75,full_mix
1,10hpf,2062.88,2822.96,1165.13,full_mix
1,10hpf,5365.19,7222.42,1402.15,full_mix
1,10hpf,4996.84,5047.47,1910.36,full_mix
1,10hpf,6030.40,5355.24,1724.47,full_mix
1,10hpf,3119.02,3457.56,1166.92,full_mix
1,10hpf,3277.69,4099.29,1081.28,full_mix
1,10hpf,4196.46,4491.25,1708.73,full_mix
1,10hpf,4177.10,4530.12,1267.00,full_mix
1,10hpf,3279.44,3313.71,902.37,full_mix
1,10hpf,5962.15,6869.52,2091.58,full_mix
1,10hpf,3694.35,5267.58,1197.90,full_mix
1,10hpf,3896.96,5311.56,996.79,full_mix
1,10hpf,3358.33,3563.71,1157.67,full_mix
1,10hpf,4222.41,4407.53,1301.80,full_mix
1,10hpf,1800.88,2211.92,1098.70,full_mix
2,10hpf,4160.129,3584.616,1666.719,full_mix
2,10hpf,5285.98,4293.981,1613.776,full_mix
2,10hpf,4226.563,3629.954,1189.253,full_mix
2,10hpf,1874.016,1508.739,591.735,full_mix
2,10hpf,3054.705,3099.043,2329.366,full_mix
2,10hpf,6410.192,4905.298,3176.987,full_mix
2,10hpf,3294.861,3216.75,1533.682,full_mix
2,10hpf,4102.947,3349.438,1541.118,full_mix
2,10hpf,9508.105,6878.165,4045.072,full_mix
2,10hpf,3664.911,3188.869,1231.796,full_mix
2,10hpf,7895.01,5965.711,3008.032,full_mix
2,10hpf,6222.817,4754.625,1812.432,full_mix
2,10hpf,1516.787,1422.064,638.031,full_mix
2,10hpf,3471.753,3559.938,852.445,full_mix
2,10hpf,1678.849,1364.778,638.39,full_mix
2,10hpf,2766.751,1986.527,775.467,full_mix
2,10hpf,7735.272,5711.082,3271.011,full_mix
2,10hpf,7924.835,5427.099,3561.909,full_mix
2,10hpf,1886.334,1878.466,1077.626,full_mix
2,10hpf,2175.082,2162.265,1239.1,full_mix
2,10hpf,3894.269,3334.736,1501.511,full_mix
2,10hpf,1055.843,1156.321,754.428,full_mix
2,10hpf,3647.526,3261.744,1546.317,full_mix
2,10hpf,2526.441,2326.15,937.621,full_mix
2,10hpf,3545.688,3293.043,2048.901,full_mix
1,10hpf,1255.144,1673.786,832.495,no_tdrd7
1,10hpf,5199.263,4648.666,1523.072,no_tdrd7
1,10hpf,3202.604,3799.677,1479.897,no_tdrd7
1,10hpf,4748.886,3935.395,1039.909,no_tdrd7
1,10hpf,4442.24,4496.796,1219.842,no_tdrd7
1,10hpf,3629.351,3240.267,613.404,no_tdrd7
1,10hpf,1723.238,2154.512,847.713,no_tdrd7
1,10hpf,677.251,1009.149,624.911,no_tdrd7
1,10hpf,2950.729,3534.11,893.294,no_tdrd7
1,10hpf,3092.398,3475.43,1352.078,no_tdrd7
1,10hpf,2827.187,2670.11,704.211,no_tdrd7
1,10hpf,4116.689,3645.67,2033.571,no_tdrd7
1,10hpf,6918.032,5900.667,1346.308,no_tdrd7
1,10hpf,4100.262,4575.734,1039.861,no_tdrd7
1,10hpf,647.479,882.11,486.56,no_tdrd7
1,10hpf,639.594,911.604,412.072,no_tdrd7
1,10hpf,5794.695,5257.55,1670.759,no_tdrd7
1,10hpf,2392.405,2786.924,651.737,no_tdrd7
1,10hpf,1053.661,1538.387,1087.295,no_tdrd7
1,10hpf,1916.499,2365.828,749.873,no_tdrd7
1,10hpf,5392.097,4333.121,1392.347,no_tdrd7
1,10hpf,4235.954,3336.066,1883.84,no_tdrd7
1,10hpf,6158.186,5086.754,1772.027,no_tdrd7
1,10hpf,1968.819,2651.931,1132.14,no_tdrd7
1,10hpf,6343.086,5960.209,1878.446,no_tdrd7
2,10hpf,2514.72,2170.798,1252.818,no_tdrd7
2,10hpf,4261.097,3659.623,2097.037,no_tdrd7
2,10hpf,6872.332,4851.629,2425.072,no_tdrd7
2,10hpf,8398.938,5859.154,3506.962,no_tdrd7
2,10hpf,5495.997,4644.136,2192.644,no_tdrd7
2,10hpf,3379.825,2935.315,1402.792,no_tdrd7
2,10hpf,4307.887,3328.155,2058.161,no_tdrd7
2,10hpf,5634.168,4656.605,2597.731,no_tdrd7
2,10hpf,9096.477,6872.045,2500.521,no_tdrd7
2,10hpf,6472.967,5945.75,3119.23,no_tdrd7
2,10hpf,4275.755,3957.24,2843.257,no_tdrd7
2,10hpf,5357.073,4420.092,2815.499,no_tdrd7
2,10hpf,4872.947,3918.743,2100.767,no_tdrd7
2,10hpf,2061.666,1994.088,1198.413,no_tdrd7
2,10hpf,5921.012,4989.98,2933.297,no_tdrd7
2,10hpf,4444.748,3685.797,1737.21,no_tdrd7
2,10hpf,1802.088,1773.42,1140.784,no_tdrd7
2,10hpf,6647.936,4476.126,2717.978,no_tdrd7
2,10hpf,3533.885,3139.42,1338.747,no_tdrd7
2,10hpf,6312.672,5360.873,2109.889,no_tdrd7
2,10hpf,4128.082,3394.497,1643.232,no_tdrd7
2,10hpf,4081.709,3234.69,1974.729,no_tdrd7
2,10hpf,2546.721,2522.574,1078.02,no_tdrd7
2,10hpf,8755.357,6219.843,4571.06,no_tdrd7
2,10hpf,7309.202,5811.549,3640.335,no_tdrd7
1,24hpf,5315.54,4447.08,1731.11,full_mix
1,24hpf,3211.453,2035.416,379.917,full_mix
1,24hpf,5657.646,9381.436,1588.106,full_mix
1,24hpf,4689.04,4629.752,1501.152,full_mix
1,24hpf,5235.842,4662.54,2828.2,full_mix
1,24hpf,5120.958,6480.717,3858.536,full_mix
1,24hpf,5235.151,6319.969,2727.152,full_mix
1,24hpf,5178.923,5033.873,1336.208,full_mix
1,24hpf,5816.36,7843.668,3532.476,full_mix
1,24hpf,1362.047,1381.216,579.288,full_mix
1,24hpf,8258.89,9558.453,7323.68,full_mix
