condition,fish_id,stock_number,fertilized,not_fertilized,red_eye_positive,red_eye_negative
full_mix,1,H211,120,5,75,38
full_mix,2,H211,0,100,,
full_mix,3,H211,0,100,,
full_mix,4,H211,0,100,,
full_mix,5,H211,2,37,1,0
full_mix,6,H211,154,36,141,0
full_mix,7,H211,212,66,213,0
full_mix,8,H211,286,17,254,36
full_mix,9,H211,184,20,151,34
full_mix,10,H211,68,34,68,0
full_mix,11,H211,146,15,146,0
full_mix,12,H211,0,100,,
full_mix,13,H211,150,49,150,0
full_mix,14,H211,117,12,92,28
full_mix,15,H211,0,100,,
full_mix,16,H211,0,100,,
full_mix,17,H211,42,21,31,11
full_mix,18,H211,250,36,231,16
full_mix,19,H211,57,5,57,0
full_mix,20,H211,81,11,64,13
full_mix,21,H211,95,28,95,0
full_mix,22,H211,74,23,74,0
full_mix,23,H211,63,2,48,15
full_mix,24,H211,0,100,,
full_mix,25,H211,71,9,71,0
full_mix,26,H211,106,21,106,0
full_mix,27,H211,85,21,85,0
full_mix,28,H211,0,100,,
full_mix,29,H211,176,46,171,0
full_mix,30,H211,170,37,168,0
full_mix,31,H211,236,20,176,58
full_mix,32,H218,0,100,,
full_mix,33,H218,60,59,59,0
full_mix,34,H218,0,100,,
full_mix,35,H218,0,100,,
full_mix,36,H218,0,100,,
full_mix,37,H218,52,17,46,0
full_mix,38,H218,0,100,,
full_mix,39,H218,200,4,86,103
full_mix,40,H218,152,20,117,32
full_mix,41,H218,121,74,121,0
full_mix,42,H218,0,100,,
full_mix,43,H218,82,11,65,11
full_mix,44,H218,189,6,140,49
full_mix,45,H218,72,77,72,0
full_mix,46,H218,186,18,132,42
full_mix,47,H220,0,100,,
full_mix,48,H220,57,50,57,0
full_mix,49,H220,0,100,,
full_mix,50,H220,178,57,178,0
full_mix,51,H220,40,22,20,21
full_mix,52,H220,0,100,,
full_mix,53,H220,0,100,,
full_mix,54,H220,49,6,39,7
full_mix,55,H220,0,100,,
full_mix,56,H220,120,7,120,0
full_mix,57,H220,63,5,60,2
full_mix,58,H220,113,23,113,0
full_mix,59,H220,62,4,62,0
full_mix,60,H220,0,100,,
full_mix,61,H220,0,100,,
full_mix,62,H220,0,100,,
full_mix,63,H220,0,100,,
full_mix,64,H220,0,100,,
full_mix,65,H220,0,100,,
full_mix,66,H220,55,3,55,0
full_mix,67,H220,11,14,6,5
full_mix,68,H220,68,10,59,7
full_mix,69,H220,77,64,77,0
full_mix,70,H220,0,100,,
full_mix,71,H220,0,100,,
full_mix,72,H220,84,7,84,0
full_mix,73,H220,131,14,106,25
no_tdrd7a,1,H212,0,100,,
no_tdrd7a,2,H212,272,28,260,55
no_tdrd7a,3,H212,0,100,,
no_tdrd7a,4,H212,116,91,96,16
no_tdrd7a,5,H212,0,100,,
no_tdrd7a,6,H212,0,100,,
no_tdrd7a,7,H212,175,8,143,43
no_tdrd7a,8,H212,268,18,210,51
no_tdrd7a,9,H212,0,100,,
no_tdrd7a,10,H212,97,22,83,13
no_tdrd7a,11,H212,0,100,,
no_tdrd7a,12,H212,0,100,,
no_tdrd7a,13,H212,148,12,104,31
no_tdrd7a,14,H212,0,100,,
no_tdrd7a,15,H212,0,100,,
no_tdrd7a,16,H212,0,100,,
no_tdrd7a,17,H212,87,33,87,0
no_tdrd7a,18,H212,0,100,,
no_tdrd7a,19,H212,0,100,,
no_tdrd7a,20,H212,0,100,,
no_tdrd7a,21,H212,96,4,61,38
no_tdrd7a,22,H212,0,100,,
no_tdrd7a,23,H212,0,100,,
no_tdrd7a,24,H212,0,100,,
no_tdrd7a,25,H212,68,6,68,0
no_tdrd7a,26,H212,49,1,49,0
no_tdrd7a,27,H212,65,60,65,0
no_tdrd7a,28,H212,0,100,,
no_tdrd7a,29,H212,107,62,38,66
no_tdrd7a,30,H212,0,100,,
no_tdrd7a,31,H212,236,37,111,114
no_tdrd7a,32,H219,0,100,,
no_tdrd7a,33,H219,0,100,,
no_tdrd7a,34,H219,0,100,,
no_tdrd7a,35,H219,0,100,,
no_tdrd7a,36,H219,0,100,,
no_tdrd7a,37,H219,0,100,,
no_tdrd7a,38,H219,0,100,,
no_tdrd7a,39,H219,65,107,41,27
no_tdrd7a,40,H219,0,100,,
no_tdrd7a,41,H219,0,100,,
no_tdrd7a,42,H219,0,100,,
no_tdrd7a,43,H219,55,128,55,0
no_tdrd7a,44,H219,177,4,131,50
no_tdrd7a,45,H219,0,100,,
no_tdrd7a,46,H219,0,100,,
no_tdrd7a,47,H219,0,100,,
no_tdrd7a,48,H219,0,100,,
no_tdrd7a,49,H219,0,100,,
no_tdrd7a,50,H219,0,100,,
no_tdrd7a,51,H219,0,100,,
no_tdrd7a,52,H221,0,100,,
no_tdrd7a,53,H221,0,100,,
no_tdrd7a,54,H221,0,100,,
no_tdrd7a,55,H221,48,15,42,5
no_tdrd7a,56,H221,176,51,176,0
no_tdrd7a,57,H221,89,8,85,6
no_tdrd7a,58,H221,0,100,,
no_tdrd7a,59,H221,96,8,96,0
no_tdrd7a,60,H221,86,5,73,8
no_tdrd7a,61,H221,0,100,,
no_tdrd7a,62,H221,75,32,33,34
no_tdrd7a,63,H221,0,100,,
no_tdrd7a,64,H221,0,100,,
no_tdrd7a,65,H221,0,100,,
no_tdrd7a,66,H221,0,100,,
no_tdrd7a,67,H221,0,100,,
no_tdrd7a,68,H221,0,100,,
no_tdrd7a,69,H221,0,100,,
no_tdrd7a,70,H221,0,100,,
no_tdrd7a,71,H221,0,100,,
no_tdrd7a,72,H221,53,8,53,0
no_tdrd7a,73,H221,46,21,27,21
no_tdrd7a,74,H221,0,100,,
no_tdrd7a,75,H221,98,7,98,0
no_tdrd7a,76,H221,4,2,4,0
wt,1,H213,104,1,,
wt,2,H213,141,0,,
wt,3,H213,124,5,,
wt,4,H213,156,0,,
wt,5,H213,116,2,,
wt,6,H213,172,20,,
wt,7,H213,125,26,,
wt,8,H213,148,1,,
wt,9,H213,42,0,,
wt,10,H213,150,10,,
wt,11,H213,52,3,,
wt,12,H213,74,2,,
wt,13,H213,147,0,,
wt,14,H213,141,14,,
wt,15,H213,139,6,,
wt,16,H213,169,7,,
wt,17,H213,163,1,,
wt,18,H213,62,1,,
wt,19,H213,112,2,,
wt,20,H213,142,4,,
wt,21,H213,148,0,,
wt,22,H213,146,39,,
wt,23,H213,110,5,,
wt,24,H213,67,6,,
