condition,fish_id,stock_number,fertilized,not_fertilized,red_eye_positive,red_eye_negative,percent_fertilized,percent_dominant_marker,is_fertile,is_dominant_marker
full_mix,2,H211,0,100,,,0.0,,False,False
full_mix,3,H211,0,100,,,0.0,,False,False
full_mix,4,H211,0,100,,,0.0,,False,False
full_mix,5,H211,2,37,1.0,0.0,5.128205128205128,100.0,True,True
full_mix,6,H211,154,36,141.0,0.0,81.05263157894737,100.0,True,True
full_mix,7,H211,212,66,213.0,0.0,76.2589928057554,100.0,True,True
full_mix,10,H211,68,34,68.0,0.0,66.66666666666666,100.0,True,True
full_mix,11,H211,146,15,146.0,0.0,90.6832298136646,100.0,True,True
full_mix,12,H211,0,100,,,0.0,,False,False
full_mix,13,H211,150,49,150.0,0.0,75.37688442211056,100.0,True,True
full_mix,15,H211,0,100,,,0.0,,False,False
full_mix,16,H211,0,100,,,0.0,,False,False
full_mix,19,H211,57,5,57.0,0.0,91.93548387096774,100.0,True,True
full_mix,21,H211,95,28,95.0,0.0,77.23577235772358,100.0,True,True
full_mix,22,H211,74,23,74.0,0.0,76.28865979381443,100.0,True,True
full_mix,24,H211,0,100,,,0.0,,False,False
full_mix,25,H211,71,9,71.0,0.0,88.75,100.0,True,True
full_mix,26,H211,106,21,106.0,0.0,83.46456692913385,100.0,True,True
full_mix,27,H211,85,21,85.0,0.0,80.18867924528303,100.0,True,True
full_mix,28,H211,0,100,,,0.0,,False,False
full_mix,29,H211,176,46,171.0,0.0,79.27927927927928,100.0,True,True
full_mix,30,H211,170,37,168.0,0.0,82.1256038647343,100.0,True,True
full_mix,32,H218,0,100,,,0.0,,False,False
full_mix,33,H218,60,59,59.0,0.0,50.42016806722689,100.0,True,True
full_mix,34,H218,0,100,,,0.0,,False,False
full_mix,35,H218,0,100,,,0.0,,False,False
full_mix,36,H218,0,100,,,0.0,,False,False
full_mix,37,H218,52,17,46.0,0.0,75.36231884057972,100.0,True,True
full_mix,38,H218,0,100,,,0.0,,False,False
full_mix,41,H218,121,74,121.0,0.0,62.05128205128205,100.0,True,True
full_mix,42,H218,0,100,,,0.0,,False,False
full_mix,45,H218,72,77,72.0,0.0,48.322147651006716,100.0,True,True
full_mix,47,H220,0,100,,,0.0,,False,False
full_mix,48,H220,57,50,57.0,0.0,53.271028037383175,100.0,True,True
full_mix,49,H220,0,100,,,0.0,,False,False
full_mix,50,H220,178,57,178.0,0.0,75.74468085106383,100.0,True,True
full_mix,52,H220,0,100,,,0.0,,False,False
full_mix,53,H220,0,100,,,0.0,,False,False
full_mix,55,H220,0,100,,,0.0,,False,False
full_mix,56,H220,120,7,120.0,0.0,94.48818897637796,100.0,True,True
full_mix,58,H220,113,23,113.0,0.0,83.08823529411765,100.0,True,True
full_mix,59,H220,62,4,62.0,0.0,93.93939393939394,100.0,True,True
full_mix,60,H220,0,100,,,0.0,,False,False
full_mix,61,H220,0,100,,,0.0,,False,False
full_mix,62,H220,0,100,,,0.0,,False,False
full_mix,63,H220,0,100,,,0.0,,False,False
full_mix,64,H220,0,100,,,0.0,,False,False
full_mix,65,H220,0,100,,,0.0,,False,False
full_mix,66,H220,55,3,55.0,0.0,94.82758620689656,100.0,True,True
full_mix,69,H220,77,64,77.0,0.0,54.60992907801418,100.0,True,True
full_mix,70,H220,0,100,,,0.0,,False,False
full_mix,71,H220,0,100,,,0.0,,False,False
full_mix,72,H220,84,7,84.0,0.0,92.3076923076923,100.0,True,True
no_tdrd7a,1,H212,0,100,,,0.0,,False,False
no_tdrd7a,3,H212,0,100,,,0.0,,False,False
no_tdrd7a,5,H212,0,100,,,0.0,,False,False
no_tdrd7a,6,H212,0,100,,,0.0,,False,False
no_tdrd7a,9,H212,0,100,,,0.0,,False,False
no_tdrd7a,11,H212,0,100,,,0.0,,False,False
no_tdrd7a,12,H212,0,100,,,0.0,,False,False
no_tdrd7a,14,H212,0,100,,,0.0,,False,False
no_tdrd7a,15,H212,0,100,,,0.0,,False,False
no_tdrd7a,16,H212,0,100,,,0.0,,False,False
no_tdrd7a,17,H212,87,33,87.0,0.0,72.5,100.0,True,True
no_tdrd7a,18,H212,0,100,,,0.0,,False,False
no_tdrd7a,19,H212,0,100,,,0.0,,False,False
no_tdrd7a,20,H212,0,100,,,0.0,,False,False
no_tdrd7a,22,H212,0,100,,,0.0,,False,False
no_tdrd7a,23,H212,0,100,,,0.0,,False,False
no_tdrd7a,24,H212,0,100,,,0.0,,False,False
no_tdrd7a,25,H212,68,6,68.0,0.0,91.8918918918919,100.0,True,True
no_tdrd7a,26,H212,49,1,49.0,0.0,98.0,100.0,True,True
no_tdrd7a,27,H212,65,60,65.0,0.0,52.0,100.0,True,True
no_tdrd7a,28,H212,0,100,,,0.0,,False,False
no_tdrd7a,30,H212,0,100,,,0.0,,False,False
no_tdrd7a,32,H219,0,100,,,0.0,,False,False
no_tdrd7a,33,H219,0,100,,,0.0,,False,False
no_tdrd7a,34,H219,0,100,,,0.0,,False,False
no_tdrd7a,35,H219,0,100,,,0.0,,False,False
no_tdrd7a,36,H219,0,100,,,0.0,,False,False
no_tdrd7a,37,H219,0,100,,,0.0,,False,False
no_tdrd7a,38,H219,0,100,,,0.0,,False,False
no_tdrd7a,40,H219,0,100,,,0.0,,False,False
no_tdrd7a,41,H219,0,100,,,0.0,,False,False
no_tdrd7a,42,H219,0,100,,,0.0,,False,False
no_tdrd7a,43,H219,55,128,55.0,0.0,30.05464480874317,100.0,True,True
no_tdrd7a,45,H219,0,100,,,0.0,,False,False
no_tdrd7a,46,H219,0,100,,,0.0,,False,False
no_tdrd7a,47,H219,0,100,,,0.0,,False,False
no_tdrd7a,48,H219,0,100,,,0.0,,False,False
no_tdrd7a,49,H219,0,100,,,0.0,,False,False
no_tdrd7a,50,H219,0,100,,,0.0,,False,False
no_tdrd7a,51,H219,0,100,,,0.0,,False,False
no_tdrd7a,52,H221,0,100,,,0.0,,False,False
no_tdrd7a,53,H221,0,100,,,0.0,,False,False
no_tdrd7a,54,H221,0,100,,,0.0,,False,False
no_tdrd7a,56,H221,176,51,176.0,0.0,77.5330396475771,100.0,True,True
no_tdrd7a,58,H221,0,100,,,0.0,,False,False
no_tdrd7a,59,H221,96,8,96.0,0.0,92.3076923076923,100.0,True,True
no_tdrd7a,61,H221,0,100,,,0.0,,False,False
no_tdrd7a,63,H221,0,100,,,0.0,,False,False
no_tdrd7a,64,H221,0,100,,,0.0,,False,False
no_tdrd7a,65,H221,0,100,,,0.0,,False,False
no_tdrd7a,66,H221,0,100,,,0.0,,False,False
no_tdrd7a,67,H221,0,100,,,0.0,,False,False
no_tdrd7a,68,H221,0,100,,,0.0,,False,False
no_tdrd7a,69,H221,0,100,,,0.0,,False,False
no_tdrd7a,70,H221,0,100,,,0.0,,False,False
no_tdrd7a,71,H221,0,100,,,0.0,,False,False
no_tdrd7a,72,H221,53,8,53.0,0.0,86.88524590163934,100.0,True,True
