Condition,Gonad,LigandHigh,Ectopic,Date
Full mix,15,14,4,2026-08-04
Full mix,33,5,8,2026-08-04
Full mix,17,2,3,2026-08-04
Full mix,14,10,2,2026-08-04
Full mix,34,1,7,2026-08-04
Full mix,31,14,0,2026-08-04
Full mix,17,3,7,2026-08-04
Full mix,26,16,16,2026-08-04
Full mix,14,2,1,2026-08-04
Full mix,36,21,4,2026-08-04
Full mix,8,12,2,2026-08-04
Full mix,28,11,10,2026-08-04
Full mix,26,0,14,2026-08-04
Full mix,21,20,19,2026-08-04
Full mix,13,21,11,2026-08-04
Full mix,17,0,2,2026-08-04
Full mix,23,6,3,2026-08-04
Full mix,25,9,9,2026-08-04
Full mix,27,7,12,2026-08-04
Full mix,20,51,25,2026-08-04
DndNos,14,14,2,2026-08-04
DndNos,24,0,8,2026-08-04
DndNos,12,6,8,2026-08-04
DndNos,20,0,9,2026-08-04
DndNos,29,12,5,2026-08-04
DndNos,21,1,10,2026-08-04
DndNos,33,28,18,2026-08-04
DndNos,9,28,6,2026-08-04
DndNos,25,29,16,2026-08-04
DndNos,12,3,3,2026-08-04
DndNos,29,14,8,2026-08-04
DndNos,28,29,20,2026-08-04
DndNos,11,1,5,2026-08-04
DndNos,45,0,6,2026-08-04
DndNos,28,12,8,2026-08-04
DndNos,14,32,15,2026-08-04
DndNos,16,14,15,2026-08-04
DndNos,25,0,3,2026-08-04
DndNos,28,27,18,2026-08-04
DndNos,18,4,10,2026-08-04
Full mix,26,15,11,2026-08-06
Full mix,22,7,4,2026-08-06
Full mix,40,13,13,2026-08-06
Full mix,14,3,2,2026-08-06
Full mix,18,4,4,2026-08-06
Full mix,34,6,13,2026-08-06
Full mix,18,7,5,2026-08-06
Full mix,21,18,10,2026-08-06
Full mix,13,22,14,2026-08-06
Full mix,14,6,8,2026-08-06
Full mix,36,10,6,2026-08-06
Full mix,18,16,13,2026-08-06
Full mix,12,3,4,2026-08-06
Full mix,24,9,15,2026-08-06
Full mix,52,13,18,2026-08-06
Full mix,26,13,4,2026-08-06
Full mix,17,4,5,2026-08-06
Full mix,42,18,20,2026-08-06
Full mix,17,2,3,2026-08-06
Full mix,28,0,2,2026-08-06
DndNos,20,34,11,2026-08-06
DndNos,12,7,11,2026-08-06
DndNos,13,6,2,2026-08-06
DndNos,35,2,11,2026-08-06
DndNos,14,10,6,2026-08-06
DndNos,17,18,9,2026-08-06
DndNos,9,3,3,2026-08-06
DndNos,22,31,6,2026-08-06
DndNos,17,19,9,2026-08-06
DndNos,8,5,5,2026-08-06
DndNos,13,2,7,2026-08-06
DndNos,11,3,6,2026-08-06
DndNos,24,37,15,2026-08-06
DndNos,22,4,7,2026-08-06
DndNos,31,6,13,2026-08-06
DndNos,25,10,12,2026-08-06
DndNos,23,7,12,2026-08-06
DndNos,15,25,9,2026-08-06
DndNos,17,18,11,2026-08-06
DndNos,42,32,21,2026-08-06
