date,condition,category,count,repeat
20-07-2026,tmd-n_d,dead,28,1
20-07-2026,tmd-n_d,sev_malformed,18,1
20-07-2026,tmd-n_d,normal,15,1
20-07-2026,n_d,dead,57,1
20-07-2026,n_d,sev_malformed,0,1
20-07-2026,n_d,normal,0,1
20-07-2026,tmd-n_stuffer,dead,1,1
20-07-2026,tmd-n_stuffer,sev_malformed,1,1
20-07-2026,tmd-n_stuffer,normal,55,1
24-07-2023,wt,dead,1,1
24-07-2024,wt,sev_malformed,0,1
24-07-2025,wt,normal,41,1
24-07-2026,tmd-n_d,dead,57,2
24-07-2026,tmd-n_d,sev_malformed,0,2
24-07-2026,tmd-n_d,normal,10,2
24-07-2026,n_d,dead,53,2
24-07-2026,n_d,sev_malformed,0,2
24-07-2026,n_d,normal,0,2
24-07-2026,tmd-n_stuffer,dead,3,2
24-07-2026,tmd-n_stuffer,sev_malformed,0,2
24-07-2026,tmd-n_stuffer,normal,54,2
24-07-2026,wt,dead,3,2
24-07-2026,wt,sev_malformed,0,2
24-07-2026,wt,normal,41,2
28-07-2026,tmd-n_d,dead,38,3
28-07-2026,tmd-n_d,sev_malformed,20,3
28-07-2026,tmd-n_d,normal,32,3
28-07-2026,n_d,dead,76,3
28-07-2026,n_d,sev_malformed,2,3
28-07-2026,n_d,normal,1,3
28-07-2026,tmd-n_stuffer,dead,2,3
28-07-2026,tmd-n_stuffer,sev_malformed,0,3
28-07-2026,tmd-n_stuffer,normal,84,3
28-07-2026,wt,dead,1,3
28-07-2026,wt,sev_malformed,1,3
28-07-2026,wt,normal,113,3
